contexte	nb_utilisations	nb_cilbe_n	nb_cible_v	réponse_mod
voiture en	1	1	0	n
mais vous	1	0	0	avez
des livres	1	0	0	là
tu trouves	1	0	0	que
{ je	50	0	44	v
lèche les	1	1	0	n
banane la	1	1	0	n
après toute	1	0	0	n
fait aïe	1	0	0	aïe
travaille la	2	2	0	n
c'est+ce+que vous	1	0	0	v
ranger la	1	1	0	n
pique les	1	1	0	n
butiner une	1	0	0	n
matins je	1	0	1	v
alors qu'est+ce+qui	3	0	2	se
{ tourne	1	0	0	le
mets ton	2	2	0	n
quelque+chose à	1	0	1	v
poche de	1	0	0	sa
une partition	1	0	0	ça
coller les	1	0	0	n
rouge vert	1	0	0	là
Ger elle	1	0	0	est
des gros	3	3	0	n
je lui	4	0	4	v
qu' y+a	1	0	0	des
de faire	2	1	0	un
{ non	11	4	5	c'
laver la	1	1	0	n
composé les	1	1	0	n
mangera la	1	1	0	n
dong+dong il	1	0	1	v
un troisième	1	1	0	qui
nous l'	1	0	1	a
milieu d'	1	1	0	v
ouvrir les	2	2	0	n
te la	4	0	4	v
toi le	2	2	0	n
tu vas	49	0	40	v
les doudous	1	0	0	de
qu'est+ce+qu'ils vont	1	0	1	v
{ bleu	1	1	0	foncé
accrocher les	1	1	0	n
logis des	1	1	0	n
rouge qui	1	0	1	t'
je les	3	1	2	v
va t'	3	0	3	v
en en	1	0	0	en
une pièce	1	1	0	quelque+part
ah les	4	4	0	n
ouvrir le	4	4	0	n
des petits	19	19	0	n
repas ce	1	1	0	que
marqué les	1	1	0	n
un moitié	1	1	0	de
alors elle	1	0	1	v
Emi je	1	0	1	v
sortir ce	1	1	0	que
des duplos	1	1	0	
ouvre ton	2	2	0	n
regarde mes	1	1	0	n
prends mon	1	1	0	n
quel truc	1	0	0	qui
que y+a	1	0	0	des
