crapaud	3
couture	3
souhait	10
latin	1
chemisier	7
planche	5
cascadeur	3
benne	1
mignonne	1
cuisinier	4
salle+de+bain++salle+de+bains	8
micro+ondes	4
raquette	8
pochette	2
chance	18
activité	2
matelas	1
melon	1
fève	1
pilou	1
poterie	5
manège	10
flacon	1
réserve	4
spatule	1
sauterelle	2
imagier	6
trousse	2
touffe	3
gaspillage	1
déclic	1
koala	7
massacreur	1
herbe	16
feu	23
arbre	58
chips	1
pâté	1
curiosité	1
maximum	4
malpropre	1
soeur	49
rosier	3
rousse	5
baril	15
mangeoire	2
phare	3
cailloux	10
vouloir	2
cas	22
nécessaire	2
chauffe	2
tante	1
particulier	8
printemps	2
mou	4
jardinage	1
pierre	10
porcinet	5
nouveauté	3
cheminée	21
cassette	20
salle+à+manger	1
griffure	1
nuage	15
gauche	10
froid	62
retombée	1
fourré	1
serre+tête	1
campagne	3
bibliothèque	10
gobelet	3
événement	1
précédent	1
jardin	39
saladier	7
transcription	1
approche	7
corne	7
blé	4
bague	5
mignon	3
plaque	5
cage	1
merveilleux	1
poche	39
pintade	11
porte	86
pommes+de+terre	3
lai	1
feutrine	1
voiture	226
broche	4
épine	1
but	3
virgule	3
coco	1
barbe	6
tampon	6
fusible	1
arrière	10
silence	1
triangle	10
blaireau	3
conservatoire	1
bobo	12
chaussette	43
mode	13
hublot	1
voltige	1
aimant	9
patin+à+roulettes	1
ouistiti	12
pommade	2
voisin	23
coquille	5
vitesse	2
escalade	2
sauté	4
porte+monnaie	1
bouteille	12
trait	19
patient	1
roublard	2
nectar	2
courgette	1
couac	4
genou	7
réponse	4
âge	19
sucrerie	3
joie	2
crotte	10
glissade	1
raté	4
séance	5
farine	15
minute	23
relance	1
torture	1
mamelle	2
souci	3
infirmier	1
parquet	28
indien	2
curieux	3
pantin	4
roulette	8
milieu	35
peluche	6
pipi	27
trente	1
annulaire	1
technique	3
enregistrement	17
fond+fonds	1
toilette	12
blessure	1
tempête	4
ver	14
rhinocéros	7
bouille	1
couette	15
étal+étale	1
